"","text"
"1251"," membantu  menambah ilmu   learning"
"1252"," mempermudah mencari "
"1253","tergantung orangnyaada  suka   tata "
"1254","yadisklh ckp  perpustakaannya"
"1255"," memudahkan    guru"
"1256","website perpustakaan     memadai    buku   berbayar"
"1257"," memenuhi syarat  kegiatan elearning"
"1258"," berjalan  "
"1259"," salah  bahan referensi"
"1260","pemanfaatan perpusatakaan disekolah    metode manual  peserta didik  pendidik diwajibkan  mencari alat    web   mempermudah   menyerap  mengembangkan pengetahuan  diajarkan"
"1261","cukup"
"1262","setuju cukup membantu"
"1263","  sistem elearning  terintegrasi"
"1264","saran  prasana memadai  kampus"
"1265"," sepenuhnya mempermudah "
"1266","bermanfaat  literasi"
"1267","perpustakaan    bentuk offline"
"1268","membantu  mencari "
"1269","ya"
"1270","cukup membantu"
"1271","cukup membantu   jarak "
"1272","cukup setuju"
"1273"," setuju"
"1274"," buku    perpus   buku digital  peran  peserta didik  terlampau antusias"
"1275"," vasilitas data internet"
"1276"," memakai sistem e learning tapi kalo diterapkan  sekolah  mendukung"
"1277",""
"1278","website perpustakaan  dimanfaatkan"
"1279"," mpermudah"
"1280"," memudahkan anak"
"1281","ya"
"1282",""
"1283","   mencari sumber   buku    perpustakaan"
"1284","meminimalisir kontak langsung"
"1285","elearning cukup mempermudah  proses  mengajar dimasa pandemi"
"1286","sekolah   perpustakaanelearning"
"1287"," memudahkan   mencari informasimateri  "
"1288","  bahan ajar "
"1289","  website perpustakaan"
"1290","sistem elearning     sebatas web sekolah  digunkan  ujian  perpustakaan blum terintegrasi    pengembangan"
"1291"," membantu  menjangkau    mudah  cepat"
"1292",""
"1293","cukup "
"1294"," membantu"
"1295","wify  memadai"
"1296"," sekolah   menerapkan perpustakaan "
"1297","  berantusias  membaca   bermain game on line"
"1298","  google classroom    statis  memudahkan    urutan posting tugas seringkali berantakan  anak terlewat  tugas maka   jenuh  scroll kebawah  tugas     menumpuk"
"1299","fiftyfifty  fasilitas nya  lengkap"
"1300"," memiliki referensi   "
"1301"," berharap   ajaran     tatap "
"1302"," lengkap"
"1303","   dilapang  sesuai ekspektasi"
"1304","sekolah  memfasilitasi e learning"
"1305","  e learning  perpustakaan  mendukung   "
"1306","  perpustakaan e book  proses"
"1307","proses elearning sudahbberjal   webperpus madihbperlubpenataam"
"1308"," sangab memudahkan guru  murid  proses kegiatan   mengajar"
"1309","sekolah     google edu   guru  murid  google suites elearning   moodle sekolah  perpustakaan memakai smart library"
"1310","koneksi internet"
"1311"," jaringan  kuota internet"
"1312","jaringan   stabil kondisi rumah  berisik  mengganggu konsentrasi "
"1313"," jaringan  fokus  berjamjam  hp  laptop   kelelahan"
"1314","praktikum  maksimal"
"1315","hambatanya  jaringan   listrik padam maka jaringan   stabil"
"1316","  sih  "
"1317","kuliah  whatsapp perkuliahan   chat basa basi   bertemu     membalas wa teman  perkuliahan  perkuliahan  whatsapp terkesan   efektif  kurangnya pengawasan  dosen  mudah  mahasiswa  memperhatikan perkuliahan  "
"1318","kartu data     mahasiswabeda  mahasiswa  "
"1319"," hambatan    kurangnya jaringan internet       pelosok   sekolah dasar   pandemi       memiliki alat  handphone       mudah   handphone  anak dibawah umur    diawasi  orang tua"
"1320","   "
"1321","jaringan kuota"
"1322","hambatanya  terkadang akses internet   kuat  menghambat proses   sistem  "
"1323","hambatanya  terkadang akses internet   kuat  menghambat proses   sistem  "
"1324","ya jaringan"
"1325","   jaringam   bersahabat"
"1326","pengadaan kouta internet sistem pembayaran spp   memahami kondisi keuangan mahasiswa kurangnya pelayanan  kampus"
"1327","  jaringan  tibariba buruk  mengganggu proses     praktikum    efektif    langsung   dosen"
"1328","hambatan utamanya  jaringan   daerah  sulit   jaringan  pemadaman listrik  kalo pemadaman listrik kadang   berpengaruh  lancar tidaknya jaringan   berkaitan    "
"1329","   hp android    jangkau jaringan internet  kuota  data mahal    subsidi"
"1330"," kuota    pembahasan   dimengerti "
"1331","jaringan  kadang hilang tibatiba"
"1332"," jarak   terhambat  akses internet terkhusus mahasiswa  tinggal  pedesaan  daerah terpencil "
"1333","hambatan   segi pemahaman    dosen  penjelasan     pemahaman  "
"1334","jaringan buruk media     dosen dominan monoton   jenuh  bosan  dominan  interaktif pembelajarannya cenderung tugas  tugas   murid menumpukpenyerapan  pelajaran  minimalis"
"1335","sinyal  konsentrasi"
"1336","   memiliki cukup akses    jarak "
"1337","hambatan sinyal"
"1338","sinyal  jelek"
"1339","  alhamdulillah internet  listrik  lancar"
"1340","kuota internet"
"1341","  pengerjaan tugas kelompok agak  efisien"
"1342","  matkul sulit dipahami   dosen    video  ppt"
"1343","cukup"
"1344","sinyal koneksi    memiliki sinyal  bagus"
"1345"," hambatan utama    keluhkan  mahasiswa     jaringan   mendukung         fasilitas   "
"1346","adasinyal  utama   tugas  bertumpuk  dealine    cepatnya"
"1347","  peserta didik   mengakses aplikasi  on line  terkendaka jaringan   disiplin"
"1348","kuota internet"
"1349","jaringan   menentu situasi    kondusif"
"1350","name"
"1351","  kampung terkendala jaringan"
"1352","jaringan"
"1353"," jaringan    tugas   ujian  limit   open book  dosen berfikirnya mudah  mengerjakannya  kenyataanya     kali lipat susahnya  penjelasan   dipahami  keterbatasan media   "
"1354","   paham  pelajaran matematika  pelajaran    betulbetul dipahami"
"1355","hambatanya     jaringan   memadaidan fasilitas     hp  "
"1356","    terjangkau    disebabkan  lokasi  tinggal   memiliki akses internet  memadai   kuota internet yng disiapkan pemerintah kadang  cukup  memenuhi kebutuhan kuota  "
"1357","byk"
"1358","kendala teknis   mata kuliah berpraktikum"
"1359","hambatan   berpengaruh   akses internet   tau kualitas jaringan berbeda disetiap "
"1360"," "
"1361","jaringan   stabil kuota iinternet "
"1362"," ketidakmampuan orang tua   wilayah pedesaan  penggunaan media    sinyal   "
"1363","jaringan     hilang"
"1364","jaringan  kebanyakan pedesaan  jaringan  kuota   app  haru  download  menimbulkan  kuota  terkuras"
"1365"," jaringan  kuota  terbatas"
"1366","jaringan   bagus  pulsa data  cepat habis      aplikasi zoom   menerus"
"1367","hambatan utama  koneksi internet  disetiap wilayah memiliki kualitas jaringan  berbeda"
"1368","data terbatas  pemerintah pelit"
"1369","kuota internet  lumayan    efisien  "
"1370","kurangnya fokus peserta ajar   berkumpul   ruangan  "
"1371"," "
"1372"," komunikasi  langsung  jaringan  mengakibatkan tertinggalnya pembelajarankurang jelas   menerima    bosan  mudah lelah   lama   laptop  handphone"
"1373","jaringan   sosialisasi  dosen  teman"
"1374","kurangnya jaringan  tinggal  daerah"
"1375","hambatan    informasi       kadang lambat diterima  kegiatan   berbeda  harinya  akses internet   terbatas  sinyal internet   normal  merata     lambat dipahami  proses      guru  berjalan   proses belajarmengajar dikelas    peserta didik   terkontrol   kegiatannya berbeda  "
"1376"," koneksi jaringan   menjangkau daerah  terpencil"
"1377","kuota internet  sinyal jelek"
"1378","ya hambatan nya  jaringan   stabil manajemen       sesuai  jadwal permasalahan kuota    "
"1379"," terkendala jaringan perangkat   tingkat pemahaman penggunaan it  berbeda  smua "
"1380","hambatannya  koneksi jaringan  beda  beda  jaringannya"
"1381","jaringan  kadang  stabil"
"1382","jaringanpake data"
"1383","kualitas jaringan  prangkat karna     mesti   jarak "
"1384","kendala   jarak   kuota  dimiliki   jaringan internet   berbeda beda"
"1385","kondisi latar  pendidikanekonomipsikologis  siswaorang tuamasyarakat  permerintah"
"1386"," kebingungan   terbiasa gaptek   "
"1387"," jaringan internet  kadangkala mengalami gangguan  sulitnya mengontrol   off kamera  keterbatasan penanaman karakter  perangkat hp  laptop   bersamaan  peserta didik  kakak adik"
"1388","hambatan   jarak   keterbatasan jaringan internet  kurangnya partisipasi  minat   proses  jarak "
"1389",""
"1390",""
"1391","kendala data dimana penggunaan data    kendala jaringan   dirumah   orang   tinggalnya memiliki akses internet"
"1392"," koneksi internet  kadang  stabil    mengantuk  durasi kefokusan menurun  adab   disepelekan     teman diskusi langsung"
"1393","jaringan kuota habis mati listrik"
"1394","fokus pelajar fasilitas  memadai televisi    maksimal kebanyakan drama program edukasi  minim"
"1395",""
"1396","ketidak tepatan  dosen  jam matakuliah tugas   "
"1397","bingung"
"1398","  jaringan koneksi  komunikasi"
"1399"," jarak   kuota       pahami"
"1400","     jaringan data kadang  ditambah koneksi  buruk mengakibatkan susah masuk elearning  zoom  meet    "
"1401","susah sinyal  stres  karna  tinggal  desa memasang wifi    tetep ngeleg    kuliah    mencari jaringan  bagus    stres   tugas  menumpuk   berkutat   rumah "
"1402","jaringan internet   "
"1403","hambatan   jaringan    d perkampungan cukup sulit   jaringan  "
"1404"," utama  kendala jaringan"
"1405","ya  hp eror  aplikasi    metode   lambat"
"1406","hambatan  sinyal"
"1407","jaringan   pmbelajaran  zoom"
"1408","kendala   jarak     jaringan  terkendala   perkuliahan "
"1409","hambatannya   kualitas jaringan  kadang  mendukung  menghambat "
"1410","kendala  jarak    perekonomian    berasal  keluarga      beli kuotabahkan   handphoneselain   sinyal   bagus  biasannya  tinggal  pelosok desa   sinyal"
"1411"," terkendala jaringan  kampung"
"1412","kendala  jarak   kuota  sinyal  kadang hilang"
"1413","jaringan  segelintir mahasiswa   merasakan  berbada  mahasiswa    perkampungan  segi efektifitas     langkah  modern      mahasiswa terkadang   faham  tata   diajarkan    memahami proses  praktek  oflline     memahami       "
"1414","malas   e learning   pengawasan  langsung"
"1415"," pembekalan  persiapan  elearning    sosialisasi  penggunaan elearning disekolah    alat evaluasi proses  uang "
"1416"," koneksi jaringan terganggu  interaksi   partisipasi  keaktifan peserta "
"1417","kendala  jarak   internet   stabil perangkat  rumah   memadai"
"1418","koneksi internet kadang  stabil"
"1419","  sinyal  sinyal  wajar maka   tertunda  mengecewakan   anak didik mapun pendidik    bersalah   sematq mata  pendidik   lama   membawa pendidik   minder     mengajar  anak didik    memahami konsep  "
"1420"," hambatan     gawailaptop  gawai   orang tua   ojek   gawai  pakai  enam anak  rumah  bergantian  kuota      bangun siang  semangat  menyelesaikan tugas      daya juang rendah  apatis  asik main game "
"1421","sinyal nya susah  paham  "
"1422","    memengang hp  hp dibawa kerja orangtuanya  jaringan  terbatas kadang dikasih video  digrup  komentar orang tua      dibuka  lingkungan   mendukung  "
"1423","kuota sinyal listrik  terkadang tibatiba padam  malam   sinyal  hilang"
"1424","internet   maksimal   orang tua  guru  kepemilikan hp      memiliki hp  "
"1425","hambatan  alat pulsa    greget  "
"1426","hambatan  proses  jarak   kurangnya insensitas  interaksi  layaknya tatap     dipaparkan susah  dicerna"
"1427","hambatan   tugas kadang kesulitan  "
"1428","keterbatasan sinyal  ilmu it   pas pasan"
"1429","keterbatasan pulsa kelancaran jaringan"
"1430","kendala  jarak      membuka kamera       wajahnya kadang    berespon"
"1431","kendala  jarak  akses internet"
"1432"," hambatan   jarak   akses internet terkadang   menghambat"
"1433","gangguan jaringan keterbatasan alat"
"1434","kendala  jarak           terbatas  tugas  menumpuk "
"1435","kurangnya pemahaman  mata kuliah praktek"
"1436","koneksi internet kedisiplinan    "
"1437","kuota terbatas"
"1438","tercampurnya fokus    pekerjaan rumah"
"1439","lingkungan rumah  berisik terkadang cukup mengganggu konsentrasi   menyerap pelajaran kualitas jaringan    diprediksi buku tulis    berguna    pake word  membeli buku tulis    akal  akalan sekolah  mencari uang"
"1440","  hambatan  dialami  terkendala  jaringan"
"1441","hambatannya dosen    merekam      cukup susah  mengulang     rumah  susah konsentrasi   membantu orang tua"
"1442","kualitas jaringan   mental   tugas  "
"1443","  internet   orang memiliki akses  internet   memiliki akses internet    sinyalnya bagus  support  perkuliahan terkadang  kendala  mati listrik  wifi error  meresahkan  pd  quiz  ujian "
"1444","terkadang terhambat  jeleknya jaringan tapi   diatasi"
"1445","  sinyal cukup  hambatan    batasan   tugas maksud     berjamjam   sore   kelas   dituntut   menyelesaikan tugas       istirahat "
"1446","<U+393C><U+3E35> guru   tugas   diskusi  penjelasan  <U+393C><U+3E35> pemberian tugas     pekan  pekan sehinggu  peserta didik     merawat   gurudosen cenderung mewajarkan begadangtidur larutkurang tidur  <U+393C><U+3E33>kerja keras<U+393C><U+3E34> <U+393C><U+3E35> sinyal  kuota internetpulsa   memadai  melaksanakan    tugastugas   risetmencari    sumbernya <U+393C><U+3E35> kurangnya bonding  guru  peserta didik "
"1447","sinyal gadget  kalo mati listrik auto miss kelas"
"1448"," sinyal  mendukung   wilayah  sulit   sinyal  dosenguru  menguasai aplikasi       terhambat  terkadang menghabiskan   cukup    teknis  lingkungan  kondusif   siswamahasiswa tinggal  lingkungan  nyaman    suasana rumahkeluarga   harmonis menyebabkan  fokus mengikuti "
"1449","kurangnya pemahaman  boros  kuota  efektif"
"1450","hambatannya seringkali guru menyuruh murid  on cam   tau   murid   suasana rumahnya  mendukung       koneksi jaringan  guru   mentolerir"
"1451","  hambatannya  demotivasi  demotivasi     bersemangat     bersamaan  guilty        lakukan"
"1452","sinyal  suara dosen   suka ngadat       sulit   typical anak   mudah mengerti    tatap "
"1453"," efektif   diskusi kualitas jaringan internet   daerah     paket data"
"1454","server down koneksi internet  kadang lemot   listrik  mati lampu"
"1455","sinyal kuota  deadline  dipersempit dosen   bertanggung     semestinya    mahasiswa  eksplor"
"1456","sinyal  mendukung   dipahami sulit mengenal teman"
"1457","  sulit  memahami   sumber   diakses   gravitasi kasur  kuat"
"1458","  hambatan   alami       terkadang jaringan hp  suka hilang  lingkungan rumah   berisik  susah  fokus  proses perkuliahan"
"1459","jaringan   tinggal    terkadang   sinyalnya  terkendala zoom"
"1460","  teknis  jaringan  hardware  terkadang error terkadang   gangguan dirumah   situasi   kondusif"
"1461","hambatan   berasal  guru guruguru    siap  mengajar sistem   guru   mengajarkan   youtube     daring tugas   guru    disamaratakan  tugas  offline      kurangnya  istirahat   hambatan   internet  perangkat   hambatan  ketiga  orang tua orang tua  memahami  anaknya   kelas  rumah   kamar orang tua  menimbulkan distraksi"
"1462","keaktifan     jarak   sulit dikontrol  keaktifan        menyimak sinyal   sinyal  kadang     sinyal   penerimaan informasi  pengumpulan tugas  terlambat"
"1463","internet kadang on off"
"1464","sinyal terkadang susah"
"1465","hambatan    terkait sinyaljaringan   stabil  kendala listrik  padam  tibatiba   pengeluaran  pembelian kuota  meningkat  kemendikbud   kuota bantuan  penggunaan aplikasi  daring     menyebabkan kuota bantuan  habis   "
"1466","hambatan terbesar   jarak    jaringan   stabil   yamg bertempat tinggal  desa  dimana akes  jaringan internet   bagus"
"1467","hambatan interaksi  pengajar  pelajar hambatan  memahami  "
"1468","sinyal internet"
"1469","gangguan sinyal  hujan   akibatnya suara  diterima putusputus  kadang screen   dishare  "
"1470","jaringan pengajar blum terlatih"
"1471","kualitas internet cukup sulit   tinggal didaerah  sinyal  memadai     terhambat   menunggu    sinyal    terbuang"
"1472","  pelaksanaan tugas praktik  membutuhkan  orang       "
"1473","hambatan   ketersediaan kuota  terbatasnya hp terkadang gangguan jaringan   "
"1474","jaringan   stabil"
"1475","   memiliki perangkat gaway   sinyal    geografis "
"1476","hambatan nya   anak    fasilitas    hp laptop  biaya pendukungnya  beli kuota     anak  malas   metode daring anak  faham   sinyal  kadang  stabil"
"1477"," stabil sinyal kebanyakan anak   hp   kebeli paket"
"1478","motivasi  semangat peserta didik  mengikuti pjj   dimana   anak  mengikuti pjj    kendala perangkat  quota   mendukung"
"1479"," kendala kuota   terpantau langsung"
"1480","keterbatasan paket internet     penggunaan hp    dipakai  bergantian  adik  kakak"
"1481","kendala  jarak   dosen    memanfaatkan media daring  internet   kali terkendala praktikum   terlaksana  maksimal  "
"1482"," jaringan  terkadang  stabil"
"1483"," fasilitas    dimiiki    memadai"
"1484","jaringan"
"1485","aamiin"
"1486"," dipahami materinya"
"1487","kendala  jarak   kuota     ilmu it   "
"1488","kendala  jarak  yaitua sinyal internet    baguskemampuan   beli paket data tidah  mampuanakanak  fokus belajarlebih fokusbermain game pantauan orang tua   maksimal  mendampingi anaknya "
"1489","hambatan  sulit memantau kegiatan    sulit  menilai kejujuran hasil pekerjaan  penilaian       disiplin   onlineterutama  penyelesaian tugas   efektifnya pendampingan  orang tua  minimnya fasilitas media elektronikhp laptop  dimiliki  "
"1490","pjj  berjalan efektif  ditunjang  dukungan  orang tua  pendampinganpengawasan fasilitas  lengkap perangkat  jarak   letak domisili  menentukan kualitas jaringan internet  terlepas    kunci utama efektifitas    pendampingan  motivasi  orang tua keluarga  lingkungan   pointpint hambatan     kesenjangan perangkat  smartphone laptop televisi radio  kesenjangan ekonomi pengadaan kuota internet  kesenjangan sinyal internet blank spot gsm edge g g  kurangnya pendampingan  orang tua  "
"1491","kendala  jarak   kuota internet  memadai  jaringan internet   stabil"
"1492","   memiliki keterbatasan koata   "
"1493",""
"1494","hambatan       orangtua menyediakan sarana  prasarana  jarak   lengkap  gawai  kuota data internet  terbatas  orangtua"
"1495","  anak  hp"
"1496","hambatan   utama   tanggung   kepedulian   menurun"
"1497","adaterkadang sinyal jelek"
"1498","    hambatan    ya      kondisi   didorong  mengerti  menguasai teknologi  kesuksesan  mengajar   ikuti  arusnya"
"1499","jaringan "
"1500","hambatannya  terbatasnya kouta internet"
"1501"," terkendala memori  kuota"
"1502","sinyal   sinyal   mempengaruhi proses  jarak   sinyal   utama dlm berjalannya   lancar "
"1503","sinyal"
"1504","hambatannya  tugas    tugas video      keberatan"
"1505","kuota sinyal motivasi   keterbatasan penyampaian dlm topik "
"1506","jelas   cukup     quota hp rusak sinyal  bagus mati listrik anak jenuh        sebentar list presensi  pergi tidur  beraktivitas     aktif  kbm"
"1507","jaringan internet  lambat"
"1508"," sih   kuota nya abis  bosen ya "
"1509","sinyal kuota media komunikasi"
"1510","hambatan    sinyal  sulit dihindari kecuali memiliki jaringan internet  bagus"
"1511","    dirumah      dilakuin duluan  pekerjaan rumah  kuliah niat ambis   berkurang   tugas    mepet bermalasmalasan kurangnya bermotivasi   "
"1512"," sekalidiantranya keterbatasan kuota  maksimalnya kntrol  pengawasan  peserta didik  keluhan  orang tua  timbulnya perasaan malas  maksimalnya pembelarajaran "
"1513","sinyal   daerah kuota"
"1514"," hambatan nya pelajaran susah  dimengerti"
"1515","yasinyalbuka website bulak balikbertanya   sepenuhnya  dipahami"
"1516","hambatan        termotivasi    jarak  mengajar sedikir  full"
"1517"," jaringan internet"
"1518","  hambatan     penyelenggaraan  jarak   permasalahan jaringan  deadline tugas  cepat  dosendosen   "
"1519","hambatan     kuota internet kadangkadang kuota habis ditengah berlangsungnya  jarak "
"1520"," "
"1521"," kurangnya partisipasi "
"1522","     dikarena   terbiasa   jarak   "
"1523"," "
"1524","kendala  jarak   keterbatasan ekonomi  sulit bertahan  qouta internet  cukup  proses "
"1525"," peserta didik menyalakan kamera   fokus  mendengar penyampaian mater  kredibilitas hasil    akurat"
"1526","kurangnya motivasi  anak saran prasana internet smartphone   anak memilikinya kurangnya penyuluhan  teknologi  anak  orangtua gaptek"
"1527","kendala  jarak     aktif  mengikuti   tugas     guru"
"1528","anak anak jenuh   semangat     bertemu teman teman"
"1529","respon   sulit ditangkap guru    mematikan kamera   aktif  merespon"
"1530"," kadang  disiplin   maksimal"
"1531","  mengenal karakteristik anak penyampaian   maksimal"
"1532","berinteraksi  langsung "
"1533","sinyal kuota"
"1534","hambatan   nya sinyal koneksi"
"1535"," "
"1536","  program agak sulit        peserta didik  kesalahan  sulit   penjelasan"
"1537","banyaknya orangtua    anak  memiliki hp pribadi  hasil  maksimal terkadang  hambatan jaringan internet"
"1538","  jaringan  kadang hp  laptop bermasalah "
"1539","    anak  langsung  soalsoal         anak        "
"1540","kuota  cukup    jaringan  kadang  "
"1541"," internet error kuota mahal"
"1542"," proses    berjalan  maksimal"
"1543",""
"1544",""
"1545","adainternet  stabilhp  eror"
"1546","kemampuan it  "
"1547","sinyal jaringan internet  stabil"
"1548","hambatan  kuota  sinyal  terbatas"
"1549","jaringan   menentu    guru  "
"1550","kuota internet   kali habis jaringan jelek motivasi     menurun   terlena  rumah konsetrasi     kalahkan  game    kerjasama  orang tua pendampingan "
"1551","hambatan  pengumpulan hasil     terlambat"
"1552","     memiliki peralatan  pjj   hp laptop  kkmputer"
"1553","jaringan kadang terganggu kuota  terbatas kendali  agak sulit"
"1554","   kuota  hp bergantian"
"1555","kuota internet      jaringan  terkadang putus putus"
"1556","   memiliki hp "
"1557","hambatan     pln  stabil  sinyal"
"1558","kendala  jarak   sinyal   memadai respon orang tua  acuh   anak  termotivasi"
"1559","kendala  jarak        tugas   guru  alasan hp rusak    kuota        "
"1560"," sdm guru  mumpuni  menekuni bidang it  internet sekolah seringkali intermitten  kondisi ekonomi peserta didik  guru tertekan  kurikulum   padat  membebani   tugas          kondisi   dirumah  standby  hp    membantu orang tuanya "
"1561","hambatannya koneksi internet"
"1562","      mengikuti pjj     alasan"
"1563","  hambatan"
"1564","kendala  jarak   ketersediaan kuota siswasinyal terkadang lemah dukungan orang tua  "
"1565","  sinyal    ajar "
"1566","    mengumpulkan tugas  google meet  alasan kuota  perhatiannya orang tua   jarak   karna sibuk kerja     bermain game  dibanding  karna kuota   alasan   orag tua"
"1567","jelas  hambatan   jarak   komunikasi  guru     efektif   sd  belajarnya  kongkret tatap   pendampingan orang tua     maksimal  kesibukan orang tua   tugas    terkumpul  guru    tersendiri  kunjungan kerumah"
"1568","semangat     menurun susah  menyelesaikanmenyampikan   tuntas  prosentase  serius  tugas      tugas agak berat  mudah stress    menghabiskan   game  meetpun  main game"
"1569","  kendala   mendasar  dalamkehadiran google meet  "
"1570","kendala  jarak    koneksi internet hp   memadai  lingkungan rumah   kondusif"
"1571","  lama  koreksi anakanak   jujur    anak lama mengumpulkan tugas  anak   pendampingan orang tua nilainya tertinggal"
